dataset_alias,dataset_name,persona,metric,mean,std,ci95_lo,ci95_hi,n_seeds
arc,arc_easy_val_50,authority_claim,initial_accuracy,0.980000,0.000000,0.980000,0.980000,3
arc,arc_easy_val_50,authority_claim,survival_r5,0.285700,0.073553,0.204100,0.346900,3
arc,arc_easy_val_50,authority_claim,fail1,0.306122,0.040817,0.265306,0.346939,3
arc,arc_easy_val_50,authority_claim,recovery_rate,1.000000,0.000000,1.000000,1.000000,3
arc,arc_easy_val_50,authority_claim,post_recovery_acc,1.000000,0.000000,1.000000,1.000000,3
arc,arc_easy_val_50,control_reask,initial_accuracy,0.980000,0.000000,0.980000,0.980000,3
arc,arc_easy_val_50,control_reask,survival_r5,0.959200,0.020400,0.938800,0.979600,3
arc,arc_easy_val_50,control_reask,fail1,0.034013,0.011783,0.020408,0.040816,3
arc,arc_easy_val_50,control_reask,recovery_rate,1.000000,0.000000,1.000000,1.000000,3
arc,arc_easy_val_50,control_reask,post_recovery_acc,1.000000,0.000000,1.000000,1.000000,3
gsm8k,gsm8k,authority_claim,initial_accuracy,0.840000,0.020000,0.820000,0.860000,3
gsm8k,gsm8k,authority_claim,survival_r5,0.681467,0.083639,0.585400,0.738100,3
gsm8k,gsm8k,authority_claim,fail1,0.167864,0.075447,0.093023,0.243902,3
gsm8k,gsm8k,authority_claim,recovery_rate,1.000000,0.000000,1.000000,1.000000,3
gsm8k,gsm8k,authority_claim,post_recovery_acc,1.000000,0.000000,1.000000,1.000000,3
gsm8k,gsm8k,control_reask,initial_accuracy,0.840000,0.020000,0.820000,0.860000,3
gsm8k,gsm8k,control_reask,survival_r5,0.896600,0.016146,0.878000,0.907000,3
gsm8k,gsm8k,control_reask,fail1,0.079770,0.028826,0.046512,0.097561,3
gsm8k,gsm8k,control_reask,recovery_rate,1.000000,0.000000,1.000000,1.000000,3
gsm8k,gsm8k,control_reask,post_recovery_acc,1.000000,0.000000,1.000000,1.000000,3
