dataset_alias,dataset_name,persona,metric,mean,std,ci95_lo,ci95_hi,n_seeds
arc,arc_easy_val_50,authority_claim,initial_accuracy,0.980000,0.000000,0.980000,0.980000,3
arc,arc_easy_val_50,authority_claim,survival_r5,0.360567,0.082503,0.265300,0.408200,3
arc,arc_easy_val_50,authority_claim,fail1,0.142857,0.020408,0.122449,0.163265,3
arc,arc_easy_val_50,authority_claim,recovery_rate,1.000000,0.000000,1.000000,1.000000,3
arc,arc_easy_val_50,authority_claim,post_recovery_acc,1.000000,0.000000,1.000000,1.000000,3
arc,arc_easy_val_50,control_reask,initial_accuracy,0.980000,0.000000,0.980000,0.980000,3
arc,arc_easy_val_50,control_reask,survival_r5,0.952400,0.023556,0.938800,0.979600,3
arc,arc_easy_val_50,control_reask,fail1,0.013605,0.023565,0.000000,0.040816,3
arc,arc_easy_val_50,control_reask,recovery_rate,1.000000,0.000000,1.000000,1.000000,3
arc,arc_easy_val_50,control_reask,post_recovery_acc,1.000000,0.000000,1.000000,1.000000,3
gsm8k,gsm8k,authority_claim,initial_accuracy,0.840000,0.000000,0.840000,0.840000,3
gsm8k,gsm8k,authority_claim,survival_r5,0.714300,0.085812,0.642900,0.809500,3
gsm8k,gsm8k,authority_claim,fail1,0.103175,0.049564,0.047619,0.142857,3
gsm8k,gsm8k,authority_claim,recovery_rate,0.948733,0.088796,0.846200,1.000000,3
gsm8k,gsm8k,authority_claim,post_recovery_acc,0.984127,0.027493,0.952381,1.000000,3
gsm8k,gsm8k,control_reask,initial_accuracy,0.840000,0.000000,0.840000,0.840000,3
gsm8k,gsm8k,control_reask,survival_r5,0.920667,0.013741,0.904800,0.928600,3
gsm8k,gsm8k,control_reask,fail1,0.055556,0.013747,0.047619,0.071429,3
gsm8k,gsm8k,control_reask,recovery_rate,1.000000,0.000000,1.000000,1.000000,3
gsm8k,gsm8k,control_reask,post_recovery_acc,1.000000,0.000000,1.000000,1.000000,3
