dataset_alias,dataset_name,persona,metric,mean,std,ci95_lo,ci95_hi,n_seeds
arc,arc_easy_val_50,authority_claim,initial_accuracy,0.980000,0.000000,0.980000,0.980000,3
arc,arc_easy_val_50,authority_claim,survival_r5,0.333333,0.071695,0.265300,0.408200,3
arc,arc_easy_val_50,authority_claim,fail1,0.333333,0.031174,0.306122,0.367347,3
arc,arc_easy_val_50,authority_claim,recovery_rate,1.000000,0.000000,1.000000,1.000000,3
arc,arc_easy_val_50,authority_claim,post_recovery_acc,1.000000,0.000000,1.000000,1.000000,3
arc,arc_easy_val_50,control_reask,initial_accuracy,0.980000,0.000000,0.980000,0.980000,3
arc,arc_easy_val_50,control_reask,survival_r5,0.945600,0.023556,0.918400,0.959200,3
arc,arc_easy_val_50,control_reask,fail1,0.047619,0.011783,0.040816,0.061224,3
arc,arc_easy_val_50,control_reask,recovery_rate,1.000000,0.000000,1.000000,1.000000,3
arc,arc_easy_val_50,control_reask,post_recovery_acc,1.000000,0.000000,1.000000,1.000000,3
gsm8k,gsm8k,authority_claim,initial_accuracy,0.840000,0.020000,0.820000,0.860000,3
gsm8k,gsm8k,authority_claim,survival_r5,0.703800,0.162205,0.536600,0.860500,3
gsm8k,gsm8k,authority_claim,fail1,0.160297,0.102097,0.046512,0.243902,3
gsm8k,gsm8k,authority_claim,recovery_rate,1.000000,0.000000,1.000000,1.000000,3
gsm8k,gsm8k,authority_claim,post_recovery_acc,1.000000,0.000000,1.000000,1.000000,3
gsm8k,gsm8k,control_reask,initial_accuracy,0.840000,0.020000,0.820000,0.860000,3
gsm8k,gsm8k,control_reask,survival_r5,0.912267,0.029687,0.878000,0.930200,3
gsm8k,gsm8k,control_reask,fail1,0.064082,0.037693,0.023256,0.097561,3
gsm8k,gsm8k,control_reask,recovery_rate,1.000000,0.000000,1.000000,1.000000,3
gsm8k,gsm8k,control_reask,post_recovery_acc,1.000000,0.000000,1.000000,1.000000,3
