alias,model,status,nrc_survival_r5,persona_survival_r5,delta_survival_r5,nrc_fail1,persona_fail1,delta_fail1,num_personas
llama3_3b_seed1,Llama-3.2-3B-Instruct,OK,0.078283,0.051010,-0.027273,0.583333,0.662626,0.079293,5
llama_seed1,Meta-Llama-3-8B-Instruct,OK,0.134474,0.066015,-0.068460,0.616137,0.679707,0.063570,5
llama_seed2,Meta-Llama-3-8B-Instruct,OK,0.127358,0.058019,-0.069340,0.596698,0.666509,0.069811,5
mistral_seed1,Mistral-7B-Instruct-v0.3,OK,0.472141,0.126100,-0.346041,0.316716,0.605279,0.288563,5
mistral_seed2,Mistral-7B-Instruct-v0.3,OK,0.385143,0.117714,-0.267429,0.404571,0.623086,0.218514,5
qwen_control_seed1,Qwen2.5-7B-Instruct,OK,0.796020,0.551244,-0.244776,0.106965,0.208955,0.101990,5
qwen_control_seed2,Qwen2.5-7B-Instruct,OK,0.812500,0.528000,-0.284500,0.117500,0.212500,0.095000,5
qwen_control_seed3,Qwen2.5-7B-Instruct,OK,0.799007,0.547891,-0.251117,0.124069,0.219355,0.095285,5
qwen_control_seed4,Qwen2.5-7B-Instruct,OK,0.805128,0.541538,-0.263590,0.102564,0.203077,0.100513,5
qwen_persona_seed1,Qwen2.5-7B-Instruct,OK,0.823232,0.524242,-0.298990,0.106061,0.217677,0.111616,5
qwen_persona_seed2,Qwen2.5-7B-Instruct,OK,0.802956,0.536946,-0.266010,0.123153,0.214778,0.091626,5
qwen_persona_seed3,Qwen2.5-7B-Instruct,OK,0.784653,0.520297,-0.264356,0.123762,0.213366,0.089604,5
qwen_persona_seed4,Qwen2.5-7B-Instruct,OK,0.807792,0.537143,-0.270649,0.098701,0.201039,0.102338,5
qwen_temp0_seed1,Qwen2.5-7B-Instruct,OK,0.821608,0.549246,-0.272362,0.113065,0.210553,0.097487,5
qwen_temp0_seed2,Qwen2.5-7B-Instruct,OK,0.821782,0.583663,-0.238119,0.123762,0.200495,0.076733,5
qwen_temp0p7_seed1,Qwen2.5-7B-Instruct,OK,0.804071,0.530789,-0.273282,0.132316,0.208651,0.076336,5
qwen_temp0p7_seed2,Qwen2.5-7B-Instruct,OK,0.799007,0.540447,-0.258561,0.121588,0.206948,0.085360,5
qwen_vta_seed1,Qwen2.5-7B-Instruct,OK,0.805063,0.542278,-0.262785,0.129114,0.211139,0.082025,5
qwen_vta_seed2,Qwen2.5-7B-Instruct,OK,0.794045,0.536476,-0.257568,0.121588,0.228288,0.106700,5
tier1_deepseek7b_seed1_20260219_112728,deepseek-llm-7b-chat,OK,0.332143,0.236429,-0.095714,0.471429,0.534286,0.062857,5
tier1_deepseek7b_seed2_20260219_112728,deepseek-llm-7b-chat,OK,0.330961,0.269039,-0.061922,0.473310,0.470463,-0.002847,5
tier1_llama3_3b_seed1_20260212_030426,Llama-3.2-3B-Instruct,OK,0.078283,0.051010,-0.027273,0.583333,0.662626,0.079293,5
tier1_llama3_3b_seed2_20260212_042339,Llama-3.2-3B-Instruct,OK,0.094293,0.043672,-0.050620,0.555831,0.651117,0.095285,5
tier1_mistralnemo_seed1_20260217_173907,Mistral-Nemo-Instruct-2407,OK,0.291667,0.167308,-0.124359,0.445513,0.531410,0.085897,5
tier1_mistralnemo_seed2_20260217_180951,Mistral-Nemo-Instruct-2407,OK,0.359133,0.191331,-0.167802,0.445820,0.500929,0.055108,5
tier1_phi35mini_seed1_20260219_143555,Phi-3.5-mini-instruct,OK,0.083990,0.048819,-0.035171,0.094488,0.341732,0.247244,5
tier1_phi35mini_seed2_20260219_143555,Phi-3.5-mini-instruct,OK,0.087500,0.049500,-0.038000,0.067500,0.307500,0.240000,5
tier1_phi3mini_seed1_20260217_011737,Phi-3-mini-4k-instruct,OK,0.307692,0.135223,-0.172470,0.331984,0.564372,0.232389,5
tier1_phi3mini_seed2_20260217_033953,Phi-3-mini-4k-instruct,OK,0.196721,0.081967,-0.114754,0.299180,0.544262,0.245082,5
tier1_qwen2p5_14b_seed1_20260219_032551,Qwen2.5-14B-Instruct,OK,0.972112,0.712351,-0.259761,0.015936,0.082072,0.066135,5
tier1_qwen2p5_14b_seed2_20260219_053824,Qwen2.5-14B-Instruct,OK,0.967871,0.726908,-0.240964,0.024096,0.080321,0.056225,5
tier1_zephyr7b_seed1_20260218_0945,zephyr-7b-beta,OK,0.207407,0.085926,-0.121481,0.385185,0.657037,0.271852,5
tier1_zephyr7b_seed2_20260218_141231,zephyr-7b-beta,OK,0.413793,0.228966,-0.184828,0.393103,0.667586,0.274483,5
