alias,n0
llama3_3b_seed1,396.0
llama_seed1,409.0
llama_seed2,424.0
mistral_seed1,341.0
mistral_seed2,875.0
qwen_control_seed1,402.0
qwen_control_seed2,400.0
qwen_control_seed3,403.0
qwen_control_seed4,390.0
qwen_persona_seed1,396.0
qwen_persona_seed2,406.0
qwen_persona_seed3,404.0
qwen_persona_seed4,385.0
qwen_temp0_seed1,398.0
qwen_temp0_seed2,404.0
qwen_temp0p7_seed1,393.0
qwen_temp0p7_seed2,403.0
qwen_vta_seed1,395.0
qwen_vta_seed2,403.0
tier1_deepseek7b_seed1_20260219_112728,280.0
tier1_deepseek7b_seed2_20260219_112728,281.0
tier1_llama3_3b_seed1_20260212_030426,396.0
tier1_llama3_3b_seed2_20260212_042339,403.0
tier1_mistralnemo_seed1_20260217_173907,312.0
tier1_mistralnemo_seed2_20260217_180951,323.0
tier1_phi35mini_seed1_20260219_143555,381.0
tier1_phi35mini_seed2_20260219_143555,400.0
tier1_phi3mini_seed1_20260217_011737,247.0
tier1_phi3mini_seed2_20260217_033953,244.0
tier1_qwen2p5_14b_seed1_20260219_032551,251.0
tier1_qwen2p5_14b_seed2_20260219_053824,249.0
tier1_zephyr7b_seed1_20260218_0945,270.0
tier1_zephyr7b_seed2_20260218_141231,145.0
