alias,nrc_recovery,persona_recovery,delta_recovery,control_total,persona_total
llama_seed1,0.7655367231638418,0.6534031413612565,-0.11213358180258526,354,1910
llama_seed2,0.6675675675675675,0.6389584376564847,-0.028609129911082776,370,1997
mistral_seed1,0.3111111111111111,0.3604026845637584,0.049291573452647286,180,1490
mistral_seed2,0.2899628252788104,0.3474093264248705,0.05744650114606009,538,3860
qwen_control_seed1,0.6829268292682927,0.7638580931263859,0.08093126385809313,82,902
qwen_control_seed2,0.7066666666666667,0.7690677966101694,0.062401129943502776,75,944
qwen_control_seed3,0.7160493827160493,0.7738748627881449,0.057825480072095536,81,911
qwen_control_seed4,0.7105263157894737,0.7841163310961968,0.07359001530672316,76,894
qwen_persona_seed1,0.6857142857142857,0.7664543524416136,0.08074006672732792,70,942
qwen_persona_seed2,0.7125,0.7734042553191489,0.06090425531914889,80,940
qwen_persona_seed3,0.6896551724137931,0.7523219814241486,0.06266680901035548,87,969
qwen_persona_seed4,0.8243243243243243,0.7867564534231201,-0.03756787090120428,74,891
tier1_llama3_3b_seed1_20260212_030426,0.5616438356164384,0.46726982437466735,-0.09437401124177103,365,1879
tier1_llama3_3b_seed2_20260212_042339,0.5835616438356165,0.485729112610275,-0.09783253122534147,365,1927
tier1_qwen2p5_14b_seed1_20260219_032551,0.5714285714285714,0.9335180055401662,0.3620894341115948,7,361
tier1_qwen2p5_14b_seed2_20260219_053824,0.75,0.9176470588235294,0.16764705882352937,8,340
